Entry_ID,Title,Price_INR,City,Property_Type,Total_Tags,basic_tags,advanced_tags,city_tag,state_tag,Top_5_Tags,Tag_Details,Categories,Web_Enhanced
r384794,RG Mirage,30520000.0,Sector 120,Apartment,21,,,,,"4bhk, under_construction, premium, power_backup, security_24x7",4bhk(0.92) | under_construction(0.80) | premium(0.78) | power_backup(0.61) | security_24x7(0.27) | parking_available(0.26) | gym_fitness(0.25) | swimming_pool(0.23) | 3bhk(0.22) | studio(0.22) | 2bhk(0.22) | highway_access(0.18) | 1bhk(0.17) | plot(0.17) | villa(0.16) | imported_marble(0.16) | luxury(0.16) | metro_connectivity(0.14) | budget_friendly(0.14) | club_house(0.12) | investment_grade(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r446528,Godrej Sora,83100000.0,Sector 53,Apartment,18,,,,,"club_house, luxury, highway_access, parking_available, 2bhk",club_house(0.82) | luxury(0.76) | highway_access(0.74) | parking_available(0.26) | 2bhk(0.23) | studio(0.23) | 3bhk(0.22) | 4bhk(0.22) | plot(0.21) | gym_fitness(0.21) | security_24x7(0.21) | swimming_pool(0.21) | investment_grade(0.19) | 1bhk(0.18) | villa(0.16) | spa_wellness(0.14) | budget_friendly(0.12) | premium(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms",Yes
r432550,TARC Ishva,77000000.0,Sector 63A,Apartment,22,,,,,"3bhk, luxury, 4bhk, club_house, golf_facilities",3bhk(1.00) | luxury(1.00) | 4bhk(0.94) | club_house(0.86) | golf_facilities(0.82) | highway_access(0.74) | parking_available(0.28) | security_24x7(0.27) | swimming_pool(0.25) | gym_fitness(0.25) | studio(0.24) | 2bhk(0.23) | 1bhk(0.21) | plot(0.19) | villa(0.19) | investment_grade(0.19) | spa_wellness(0.16) | budget_friendly(0.14) | imported_marble(0.14) | premium(0.14) | power_backup(0.13) | infinity_pool(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms",Yes
r424460,M3M Mansion,36036000.0,Sector 113,Apartment,19,,,,,"3bhk, 2bhk, club_house, premium, highway_access",3bhk(0.98) | 2bhk(0.98) | club_house(0.83) | premium(0.79) | highway_access(0.73) | studio(0.25) | 4bhk(0.25) | gym_fitness(0.24) | 1bhk(0.23) | parking_available(0.21) | swimming_pool(0.20) | security_24x7(0.20) | plot(0.19) | villa(0.18) | investment_grade(0.18) | imported_marble(0.13) | spa_wellness(0.13) | luxury(0.13) | budget_friendly(0.13),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms",Yes
r444331,Signature Global Cloverdale SPR,38757500.0,Sector 71,Apartment,15,,,,,"highway_access, premium, parking_available, security_24x7, studio",highway_access(0.75) | premium(0.75) | parking_available(0.25) | security_24x7(0.23) | studio(0.21) | gym_fitness(0.21) | 2bhk(0.21) | 4bhk(0.20) | swimming_pool(0.20) | 3bhk(0.19) | plot(0.19) | investment_grade(0.16) | villa(0.16) | 1bhk(0.15) | spa_wellness(0.13),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms",Yes
r404070,DLF The Arbour,84925000.0,Sector 63,Apartment,19,,,,,"studio, 4bhk, club_house, highway_access, luxury",studio(1.00) | 4bhk(0.95) | club_house(0.83) | highway_access(0.75) | luxury(0.73) | parking_available(0.33) | gym_fitness(0.32) | security_24x7(0.32) | swimming_pool(0.30) | 2bhk(0.24) | 3bhk(0.22) | plot(0.21) | power_backup(0.20) | 1bhk(0.18) | investment_grade(0.17) | villa(0.16) | spa_wellness(0.14) | premium(0.14) | budget_friendly(0.13),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms",Yes
r438244,Indiabulls Estate and Club,39899999.0,Sector 104,Apartment,16,,,,,"premium, highway_access, studio, 2bhk, gym_fitness",premium(0.77) | highway_access(0.38) | studio(0.24) | 2bhk(0.23) | gym_fitness(0.23) | parking_available(0.23) | 4bhk(0.23) | 3bhk(0.22) | security_24x7(0.20) | plot(0.20) | swimming_pool(0.20) | investment_grade(0.18) | 1bhk(0.17) | villa(0.15) | spa_wellness(0.13) | club_house(0.13),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms",Yes
r422937,Krisumi Waterside Residences,44370000.0,Sector 36A,Apartment,20,,,,,"club_house, premium, highway_access, swimming_pool, gym_fitness",club_house(0.86) | premium(0.77) | highway_access(0.74) | swimming_pool(0.26) | gym_fitness(0.25) | security_24x7(0.25) | 2bhk(0.24) | studio(0.24) | 3bhk(0.24) | parking_available(0.23) | 4bhk(0.23) | 1bhk(0.20) | villa(0.17) | plot(0.16) | spa_wellness(0.15) | luxury(0.15) | investment_grade(0.13) | budget_friendly(0.13) | imported_marble(0.13) | private_elevator(0.13),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms",Yes
r433274,Signature Global Daxin Vistas,21000000.0,Sohna,House,14,,,,,"3bhk, premium, villa, plot, 4bhk",3bhk(0.92) | premium(0.76) | villa(0.47) | plot(0.21) | 4bhk(0.21) | 2bhk(0.21) | studio(0.18) | highway_access(0.17) | 1bhk(0.16) | investment_grade(0.14) | private_elevator(0.14) | club_house(0.14) | imported_marble(0.13) | under_construction(0.12),"investment, luxury_indicators, property_type, price_range, location, bedrooms, status",Yes
r442988,ROF Pravasa,24000000.0,Sector 88A,Apartment,23,,,,,"3bhk, club_house, premium, highway_access, smart_home",3bhk(0.94) | club_house(0.86) | premium(0.79) | highway_access(0.73) | smart_home(0.73) | luxury(0.47) | parking_available(0.27) | studio(0.26) | gym_fitness(0.25) | 2bhk(0.24) | security_24x7(0.23) | swimming_pool(0.23) | plot(0.22) | 4bhk(0.21) | villa(0.18) | 1bhk(0.17) | investment_grade(0.17) | budget_friendly(0.16) | spa_wellness(0.16) | under_construction(0.15) | imported_marble(0.14) | private_elevator(0.12) | power_backup(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r433317,Max Estate 360,54831000.0,Sector 36A,Apartment,7,,,,,"luxury, studio, 2bhk, 3bhk, 4bhk",luxury(0.74) | studio(0.19) | 2bhk(0.19) | 3bhk(0.19) | 4bhk(0.19) | plot(0.17) | 1bhk(0.17),"property_type, price_range, bedrooms",Yes
r318679,Hero Homes,15935500.0,Sector 104,Apartment,7,,,,,"premium, highway_access, plot, studio, 3bhk",premium(0.75) | highway_access(0.39) | plot(0.19) | studio(0.19) | 3bhk(0.18) | 4bhk(0.17) | 2bhk(0.17),"property_type, price_range, location, bedrooms",Yes
r444343,Runwal Raaya,109900000.0,Worli,Apartment,4,,,,,"luxury, studio, 2bhk, 3bhk",luxury(0.71) | studio(0.19) | 2bhk(0.17) | 3bhk(0.15),"price_range, bedrooms",Yes
r426835,Tricity Aspire,11200000.0,Kharghar,Apartment,19,,,,,"3bhk, 2bhk, 4bhk, premium, plot",3bhk(0.94) | 2bhk(0.94) | 4bhk(0.93) | premium(0.76) | plot(0.49) | under_construction(0.47) | security_24x7(0.24) | swimming_pool(0.22) | parking_available(0.21) | gym_fitness(0.21) | studio(0.19) | highway_access(0.18) | 1bhk(0.18) | investment_grade(0.16) | imported_marble(0.15) | metro_connectivity(0.15) | power_backup(0.15) | club_house(0.13) | budget_friendly(0.13),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r425106,Ruparel Stardom,23500001.0,Evershine Nagar,Apartment,5,,,,,"premium, 2bhk, studio, 3bhk, 4bhk",premium(0.75) | 2bhk(0.20) | studio(0.20) | 3bhk(0.18) | 4bhk(0.17),"price_range, bedrooms",Yes
r382672,Mahaavir Exotique,5400872.0,Kharghar,Apartment,9,,,,,"mid_range, villa, 2bhk, 3bhk, 4bhk",mid_range(0.66) | villa(0.44) | 2bhk(0.23) | 3bhk(0.22) | 4bhk(0.22) | studio(0.21) | 1bhk(0.17) | investment_grade(0.16) | plot(0.16),"property_type, price_range, bedrooms, investment",Yes
r422558,Godrej Reserve,25400521.0,Kandivali East,Apartment,5,,,,,"premium, studio, 2bhk, 3bhk, 4bhk",premium(0.74) | studio(0.18) | 2bhk(0.17) | 3bhk(0.16) | 4bhk(0.15),"price_range, bedrooms",Yes
r430268,Raheja Lunaris,10514876.0,Juinagar,Apartment,7,,,,,"premium, plot, highway_access, 3bhk, 2bhk",premium(0.75) | plot(0.48) | highway_access(0.38) | 3bhk(0.17) | 2bhk(0.17) | 4bhk(0.16) | imported_marble(0.16),"luxury_indicators, property_type, price_range, location, bedrooms",Yes
r88315,Ruparel Vivanza,25500000.0,Byculla,Apartment,1,,,,,premium,premium(0.74),price_range,Yes
r403694,Raheja Modern Vivarea,125175000.0,Mahalaxmi,Apartment,5,,,,,"luxury, 2bhk, studio, 3bhk, 4bhk",luxury(0.76) | 2bhk(0.18) | studio(0.17) | 3bhk(0.17) | 4bhk(0.16),"price_range, bedrooms",Yes
r404243,Lodha Divino,37746933.0,Matunga,Apartment,5,,,,,"premium, 2bhk, studio, 3bhk, 4bhk",premium(0.73) | 2bhk(0.18) | studio(0.17) | 3bhk(0.17) | 4bhk(0.16),"price_range, bedrooms",Yes
r403096,Codename Cloud City,5871558.0,Kharghar,Apartment,6,,,,,"mid_range, studio, 2bhk, 3bhk, 4bhk",mid_range(0.65) | studio(0.21) | 2bhk(0.20) | 3bhk(0.19) | 4bhk(0.18) | 1bhk(0.17),"price_range, bedrooms",Yes
r447590,Paramount By Gala Habitats,37920000.0,Matunga East,Apartment,7,,,,,"premium, studio, 2bhk, 3bhk, 4bhk",premium(0.76) | studio(0.22) | 2bhk(0.19) | 3bhk(0.19) | 4bhk(0.17) | 1bhk(0.16) | imported_marble(0.15),"price_range, bedrooms, luxury_indicators",Yes
r434130,Ruparel Urbana,9490000.0,Kurla,Apartment,6,,,,,"mid_range, studio, 2bhk, 3bhk, 1bhk",mid_range(0.66) | studio(0.22) | 2bhk(0.18) | 3bhk(0.17) | 1bhk(0.17) | 4bhk(0.16),"price_range, bedrooms",Yes
r416159,Lodha Mirabelle ,14900002.0,Hebbal,Apartment,9,,,,,"premium, it_hub, 2bhk, 3bhk, 4bhk",premium(0.72) | it_hub(0.58) | 2bhk(0.21) | 3bhk(0.20) | 4bhk(0.19) | studio(0.19) | plot(0.17) | villa(0.16) | 1bhk(0.15),"property_type, price_range, location, bedrooms",Yes
r425508,Casagrand Regal,10864865.0,Thanisandra,Apartment,6,,,,,"premium, 3bhk, 2bhk, studio, 4bhk",premium(0.75) | 3bhk(0.21) | 2bhk(0.21) | studio(0.20) | 4bhk(0.19) | 1bhk(0.15),"price_range, bedrooms",Yes
r418697,Provident Deansgate,21000000.0,IVC Road,House,7,,,,,"premium, villa, 2bhk, 4bhk, plot",premium(0.73) | villa(0.48) | 2bhk(0.19) | 4bhk(0.18) | plot(0.18) | 3bhk(0.18) | studio(0.17),"property_type, price_range, bedrooms",Yes
r443697,Bhartiya Garden Estate,6708000.0,Sadahalli,Apartment,7,,,,,"mid_range, 2bhk, studio, 3bhk, 4bhk",mid_range(0.65) | 2bhk(0.22) | studio(0.20) | 3bhk(0.20) | 4bhk(0.20) | 1bhk(0.17) | plot(0.16),"property_type, price_range, bedrooms",Yes
r426518,DSR The Courtyard,10315885.0,Sarjapur Road,Apartment,5,,,,,"premium, 3bhk, studio, 2bhk, 4bhk",premium(0.73) | 3bhk(0.20) | studio(0.20) | 2bhk(0.20) | 4bhk(0.18),"price_range, bedrooms",Yes
r437293,Eastfield by Urbanest Realty,12744054.0,Hoskote,Apartment,8,,,,,"premium, 2bhk, studio, 3bhk, 4bhk",premium(0.74) | 2bhk(0.23) | studio(0.22) | 3bhk(0.21) | 4bhk(0.21) | plot(0.18) | 1bhk(0.16) | investment_grade(0.16),"property_type, price_range, bedrooms, investment",Yes
r424098,Modern Spaaces Engrace Vista,15501000.0,Sarjapur Road,Apartment,9,,,,,"premium, spa_wellness, studio, 2bhk, 3bhk",premium(0.75) | spa_wellness(0.39) | studio(0.21) | 2bhk(0.20) | 3bhk(0.20) | 4bhk(0.19) | highway_access(0.16) | plot(0.15) | 1bhk(0.15),"luxury_indicators, property_type, price_range, location, bedrooms",Yes
r367669,Assetz Canvas and Cove,17100000.0,Begur,Apartment,5,,,,,"premium, studio, 2bhk, 3bhk, 4bhk",premium(0.75) | studio(0.19) | 2bhk(0.18) | 3bhk(0.16) | 4bhk(0.16),"price_range, bedrooms",Yes
r411425,Sarang by Sumadhura,13475000.0,Whitefield,Apartment,8,,,,,"premium, villa, 2bhk, 4bhk, 3bhk",premium(0.72) | villa(0.45) | 2bhk(0.22) | 4bhk(0.20) | 3bhk(0.20) | studio(0.19) | plot(0.18) | 1bhk(0.17),"property_type, price_range, bedrooms",Yes
r418789,Bhartiya Nikoo Homes 5,12683240.0,Chokkanahalli,Apartment,7,,,,,"premium, highway_access, studio, 2bhk, 3bhk",premium(0.73) | highway_access(0.34) | studio(0.22) | 2bhk(0.22) | 3bhk(0.20) | 4bhk(0.19) | 1bhk(0.18),"price_range, location, bedrooms",Yes
r435540,Signature Premier,12000000.0,Sarjapur Road,Apartment,7,,,,,"premium, villa, 2bhk, studio, 3bhk",premium(0.73) | villa(0.42) | 2bhk(0.20) | studio(0.20) | 3bhk(0.19) | 4bhk(0.19) | plot(0.17),"property_type, price_range, bedrooms",Yes
r433250,Rohan Saroha,8146228.0,Bhugaon,Apartment,7,,,,,"mid_range, studio, 2bhk, 3bhk, 4bhk",mid_range(0.67) | studio(0.23) | 2bhk(0.22) | 3bhk(0.20) | 4bhk(0.18) | 1bhk(0.17) | imported_marble(0.15),"price_range, bedrooms, luxury_indicators",Yes
r383225,VTP Euphoria,9159135.0,Kharadi,Apartment,6,,,,,"mid_range, studio, 2bhk, 3bhk, plot",mid_range(0.64) | studio(0.20) | 2bhk(0.18) | 3bhk(0.17) | plot(0.16) | 4bhk(0.16),"property_type, price_range, bedrooms",Yes
r419466,Merlin Ventana,13199998.0,Baner,Apartment,6,,,,,"premium, studio, 2bhk, 3bhk, 4bhk",premium(0.75) | studio(0.22) | 2bhk(0.19) | 3bhk(0.18) | 4bhk(0.17) | 1bhk(0.17),"price_range, bedrooms",Yes
r442001,Nyati Evania,19000003.0,Sadashiv Peth,Apartment,5,,,,,"premium, studio, 2bhk, 3bhk, 4bhk",premium(0.74) | studio(0.22) | 2bhk(0.18) | 3bhk(0.16) | 4bhk(0.16),"price_range, bedrooms",Yes
r401614,Kalpataru Jade Skyline,19000000.0,Baner,Apartment,5,,,,,"premium, studio, 2bhk, 3bhk, 4bhk",premium(0.75) | studio(0.21) | 2bhk(0.19) | 3bhk(0.18) | 4bhk(0.17),"price_range, bedrooms",Yes
r401175,Mahindra Citadel,16300000.0,Pimpri Chinchwad,Apartment,8,,,,,"premium, plot, highway_access, 3bhk, 2bhk",premium(0.75) | plot(0.47) | highway_access(0.36) | 3bhk(0.20) | 2bhk(0.20) | 4bhk(0.19) | studio(0.16) | imported_marble(0.16),"luxury_indicators, property_type, price_range, location, bedrooms",Yes
r405131,Lodha Panache,12547563.0,Hinjewadi,Apartment,5,,,,,"premium, 2bhk, studio, 3bhk, 4bhk",premium(0.74) | 2bhk(0.20) | studio(0.19) | 3bhk(0.18) | 4bhk(0.17),"price_range, bedrooms",Yes
r437218,Vilas Palladio Kharadi Central Phase 2,10999996.0,Kharadi,Apartment,5,,,,,"premium, studio, 2bhk, 3bhk, 4bhk",premium(0.74) | studio(0.20) | 2bhk(0.17) | 3bhk(0.16) | 4bhk(0.16),"price_range, bedrooms",Yes
r399309,Lodha Giardino,30000000.0,Kharadi,Apartment,5,,,,,"premium, 3bhk, studio, 2bhk, 4bhk",premium(0.76) | 3bhk(0.20) | studio(0.18) | 2bhk(0.18) | 4bhk(0.17),"price_range, bedrooms",Yes
r410862,Nyati Emerald,11800000.0,Baner,Apartment,3,,,,,"premium, studio, 2bhk",premium(0.73) | studio(0.19) | 2bhk(0.17),"price_range, bedrooms",Yes
